Store,DayOfWeek,Sales,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,Week,PerCentDiseaseAffInWeek,AvgSalesPerStore,AvgCustomersPerStore,MedSalesPerStore,MedCustomersPerStore,AvgCustSpentInStore,LastWeekSalesPerStore,LastWeekCustomersPerStore
1097,2,5961,0,1,1,1,1,720,3,2002,0,0,0,0,2013,1,1,45,9737.629118,2419.451647,9599,2460,4.024725656,52919,11784
85,2,4220,0,1,1,1,0,1870,10,2011,0,0,0,0,2013,1,1,45,7272.454352,1015.401274,6622,929.5,7.162148147,38018,4736
259,2,6851,0,1,1,1,1,210,0,0,0,0,0,0,2013,1,1,45,11648.07742,2373.475269,11448.5,2418,4.907604293,63448,12630
262,2,17267,0,1,1,1,0,1180,5,2013,0,0,0,0,2013,1,1,45,18550.49145,3118.497151,18495,3118.5,5.948535642,87921,12548
274,2,3102,0,1,1,1,1,3640,0,0,1,10,2013,2,2013,1,1,45,4070.828326,992.7414163,3608,926,4.100592822,29460,5978
335,2,2401,0,1,1,1,0,90,0,0,1,31,2013,2,2013,1,1,45,13120.60388,2368.583423,12419,2500,5.539430762,87731,12910
353,2,3139,0,1,1,1,1,900,0,0,1,14,2013,1,2013,1,1,45,5651.368817,1451.086022,5528,1466.5,3.894578773,34436,8328
423,2,9643,0,1,1,1,0,1270,5,2014,0,0,0,0,2013,1,1,45,10828.4034,1886.130573,10484,1850,5.741067745,58952,9850
948,2,4491,0,1,1,1,1,1430,0,0,0,0,0,0,2013,1,1,45,6944.243797,1714.269687,6691,1725,4.050846754,42249,9993
512,2,2646,0,1,1,1,1,590,0,0,1,5,2013,3,2013,1,1,45,5510.978523,1287.971812,5325,1277,4.278803676,34246,7721
530,2,2907,0,1,1,0,2,18160,0,0,0,0,0,0,2013,1,1,45,4634.3234,750.8057395,4425,752.5,6.172466666,46085,7115
562,2,8498,0,1,1,1,2,1210,0,0,0,0,0,0,2013,1,1,45,17638.1766,3066.885264,17794,3109,5.751169373,94188,15215
676,2,3821,0,1,1,1,1,1410,9,2008,0,0,0,0,2013,1,1,45,7687.464052,1687.593682,7395,1716,4.555281366,44903,9186
682,2,3375,0,1,1,1,0,150,9,2006,0,0,0,0,2013,1,1,45,11207.4087,1758.842887,11113.5,1834.5,6.372035151,67642,9544
733,2,10765,0,1,1,1,1,860,10,1999,0,0,0,0,2013,1,1,45,14378.21148,3269.837535,14255,3310.5,4.39722504,59016,12759
769,2,5035,0,1,1,1,1,840,0,0,1,48,2012,2,2013,1,1,45,10417.35995,2961.909091,10438.5,2995.5,3.517109955,45649,12051
494,2,3113,0,1,1,1,0,1260,6,2011,0,0,0,0,2013,1,1,45,7649.296178,1079.606157,7565,1095,7.085265426,44347,5423
369,3,6063,0,0,1,3,2,5870,4,2014,0,0,0,0,2013,1,1,45,6856.559539,577.2855314,6806,570,11.87724127,38575,3007
370,3,5462,0,0,1,3,0,8250,10,2000,1,31,2009,2,2013,1,1,45,7649.643132,635.6328626,7339,625,12.03468792,45627,3310
371,3,7374,0,0,1,3,2,1970,7,2009,1,45,2014,1,2013,1,1,45,6889.756722,544.4110115,6609,535,12.65543234,44437,3074
372,3,8014,0,0,1,3,2,4880,8,2010,1,18,2014,2,2013,1,1,45,8786.206675,759.2991014,8347,734,11.57146987,53491,3969
373,3,3770,0,0,1,3,2,11120,0,0,1,22,2012,2,2013,1,1,45,4530.503218,316.5444015,4419,310,14.31237828,27054,1701
374,3,6620,0,0,1,0,0,1150,9,2007,0,0,0,0,2013,1,1,45,7009.673469,829.7359694,7028.5,855,8.448077133,41227,4324
378,3,5062,0,0,1,0,2,2140,8,2012,0,0,0,0,2013,1,1,45,6324.801027,970.156611,5994,946,6.519360849,40078,5485
